id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
1225,RE,Year 1,What does it mean to belong to a faith community?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1226,RE,Year 1,,,How and why do we celebrate special and sacred times?,Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1227,RE,Year 1,,,,,Who is a Christian and what do they believe?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1228,RE,Year 1,,,,,,,How can we learn from sacred books?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1229,RE,Year 1,,,,,,,,,"How should we care for others and the world, and why does it matter?",Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1230,RE,Year 1,,,,,,,,,,,How and why do we celebrate special and sacred times? (different festival focus),Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1231,RE,Year 2,Who is a Jew and what do they believe?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1232,RE,Year 2,,,What makes some places sacred?,Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1233,RE,Year 2,,,,,What does it mean to be a Christian in Britain today?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1234,RE,Year 2,,,,,,,Why is the Bible so important for Christians today?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1235,RE,Year 2,,,,,,,,,Why do people pray? Multi-faith,Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1236,RE,Year 2,,,,,,,,,,,What do different people believe about God? Hindu focus,Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1237,RE,Year 3,What does it mean to be a Hindu in Britain today?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1238,RE,Year 3,,,What can we learn from religions about deciding what is right and wrong?,Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1239,RE,Year 3,,,,,Why is Jesus inspiring to some people?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1240,RE,Year 3,,,,,,,Why are festivals important to religious communities?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1241,RE,Year 3,,,,,,,,,Why do some people think that life is a journey and what significant experiences mark this?,Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1242,RE,Year 3,,,,,,,,,,,Why do some people think that life is a journey and what significant experiences mark this?,Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1243,RE,Year 4,Why do some people think God exists?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1244,RE,Year 4,,,"If God is everywhere, why go to a place of worship?",Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1245,RE,Year 4,,,,,What would Jesus do? Can we live by the values of Jesus in the 21st century?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1246,RE,Year 4,,,,,,,What would Jesus do? Can we live by the values of Jesus in the 21st century?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1247,RE,Year 4,,,,,,,,,What does it mean to be a Muslim in Britain today?,Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1248,RE,Year 4,,,,,,,,,,,What does it mean to be a Muslim in Britain today?,Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1249,RE,Year 5,Is it better to express your beliefs in arts and architecture or in charity and generosity?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1250,RE,Year 5,,,"What difference does it make to believe in ahimsa, grace and/or Ummah?",Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1251,RE,Year 5,,,,,What matters most to Christians and Humanists?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1252,RE,Year 5,,,,,,,What matters most to Christians and Humanists?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1253,RE,Year 5,,,,,,,,,What do religions say to us when life gets hard?,Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1254,RE,Year 5,,,,,,,,,,,What do religions say to us when life gets hard?,Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1255,RE,Year 6,What does it mean to be a Muslim in Britain today?,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1256,RE,Year 6,,,What does it mean to be a Muslim in Britain today?,Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1257,RE,Year 6,,,,,What do religions say to us when life gets hard?,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1258,RE,Year 6,,,,,,,What do religions say to us when life gets hard?,Times and dates in RE context.,,,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1259,RE,Year 6,,,,,,,,,Is it better to express your beliefs in arts and architecture or in charity and generosity?,Times and dates in RE context.,,,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1260,RE,Year 6,,,,,,,,,,,Is it better to express your beliefs in arts and architecture or in charity and generosity?,Times and dates in RE context.,,"Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1261,RE,Year 7,"Who am I? (Expressing) Personal identity, Fact and opinion. This unit lays down some of the foundations for studying religion and worldviews at KS3. It introduces key vocabulary and builds on learning from KS2 about the way in which belonging to a community can shape a worldview and the way in which different people reason about the world around them.",Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1262,RE,Year 7,,,"What is the big story in the Bible? (Believing) This unit examines some of the core concepts and beliefs associated with a Christian worldview, and the ways in which different Christians express them in their lived reality. This builds on learning about Christian worldviews at KS2, including key beliefs about God, humanity and the world.",Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1263,RE,Year 7,,,,,Who was Moses and why was he important? (Expressing) This unit combines the historical with the religious and asks pupils to consider the impact of History and sources of Authority on Christians today. This will also allow pupils to understand the roots of Judaism.,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1264,RE,Year 7,,,,,,,What is so radical about Jesus? (Believing) This unit explores in detail Christian beliefs about humanity and the relationship between human beings and God. It emphasises the diversity of ways in which Christians interpret key sources of authority and act in the world.,Times and dates in RE context.,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1265,RE,Year 7,,,,,,,,,"Should we sell religious buildings to feed the homeless? (Expressing) This unit explores places of worship through a study of Christianity, Islam and one other religion, and asks pupils to consider the purpose of a place of worship alongside the requirements to look after those less fortunate.",Times and dates in RE context.,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1266,RE,Year 7,,,,,,,,,,,"What does it mean to believe in Rules? (Living) This unit examines some of the core concepts and beliefs associated with a Hindu or Muslim worldview, and the ways in which different Hindus or Muslim express them in their lives. This enables students to compare and contrast with a Christian worldview based on prior learning in the year.",Times and dates in RE context.,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority.,,,,,,,
1267,RE,Year 8,Is death the end? (Believing) Pupils will explore a number of religious and non-religious views. Pupils will be introduced to the concept of debate and encouraged to critically evaluate their own views.,Times and dates in RE context.,,,,,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1268,RE,Year 8,,,Who were the Greek Gods? (Believing) This unit explores the ancient Greek concept of God and looks at the links between religion and morality.,Times and dates in RE context.,,,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1269,RE,Year 8,,,,,Does religion help us to be good? (Living) What does the term ‘good’ mean? How do different religious and non-religious traditions define ‘goodness’? What sources of authority provide religious and non-religious people with guidance on how to live a ‘good’ life? This unit explores morality and the range of ways in which humans understand the term ‘good’.,Times and dates in RE context.,,,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1270,RE,Year 8,,,,,,,Does pacifism work? (MLK) (Living) This unit involves an in-depth study of the life and teachings of Martin Luther King Jnr. Pupils will explore the ethical and moral issues which arose from Racial segregation.,Times and dates in RE context.,,,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1271,RE,Year 8,,,,,,,,,"Should happiness be the purpose of life? (Living) This unit explores religious views on how to live a good life. Pupils will study Buddhism, Christianity and non-religious views.",Times and dates in RE context.,,,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1272,RE,Year 8,,,,,,,,,,,Is our life predetermined? (Expressing) This unit allows pupils to look at astrology and explore the notions of fate and determinism. Pupils will produce a creative timeline of their own lives. This will also lay the foundations for the philosophical approach to Y9 and philosophical issues in KS4.,Times and dates in RE context.,,"Writing in full sentences using correct Grammar, punctuation and spelling. Develop vocabulary skills and the use of specialist terminology.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: Exploring diverse British values in context to selected issues and religions.,,,,,,,
1273,RE,Year 9,"The Young Philosophers course Vol 1 (Believing, Expressing and Living) The learning in this year has focused on the ways in which a person’s beliefs underpin their action in the world. This unit explores different ways in which religious and non-religious people express their beliefs. It introduces pupils to key philosophical thinkers such as Plato and Descartes and encourages them to challenge what they think they already know. This will be done through a study of the three main aspects of philosophy: metaphysics, logic and moral philosophy. Metaphysics considers the nature of the world around us, logic investigates our process of reasoning (the way we think about ourselves and the world around us) and moral philosophy considers the nature of good and evil.",Times and dates in RE context.,,,,,,,,,,,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1274,RE,Year 9,,,"Does morality exist? This unit builds on the skills and knowledge from Autumn Term, and focusses on behaviour and what guides our actions.",Times and dates in RE context.,,,,,,,,,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1275,RE,Year 9,,,,,"The Epicurean debate (Living) This topic explores the moral and ethical issues surrounding the Holocaust. Through the use of case studies and testimony, pupils will be challenged to consider whether “morality” is universal and consider the Problem of Evil and the challenge this poses to faith.",Times and dates in RE context.,,,,,,,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1276,RE,Year 9,,,,,,,"The Young Philosophers course Vol 2 This unit explores 3 aspects of philosophy, political, theological and philosophy of the Mind. Political philosophy explores issues of crime and punishment, Theology challenges us to look at evidence for Gods existence and Mind makes us question our very existence.",Times and dates in RE context.,,,,,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1277,RE,Year 9,,,,,,,,,"The Young Philosophers course Vol 2 This unit explores 3 aspects of philosophy, political, theological and philosophy of the Mind. Political philosophy explores issues of crime and punishment, Theology challenges us to look at evidence for Gods existence and Mind makes us question our very existence.",Times and dates in RE context.,,,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1278,RE,Year 9,,,,,,,,,,,"The Young Philosophers course Vol 2 This unit explores 3 aspects of philosophy, political, theological and philosophy of the Mind. Political philosophy explores issues of crime and punishment, Theology challenges us to look at evidence for Gods existence and Mind makes us question our very existence.",Times and dates in RE context.,,"Develop skills both written and verbal through individual work, group discussion and debate. Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned argument.",Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others and identifying similarities and differences between beliefs. Cultural: Considering a variety of British values and drawing comparisons with religion. Social: Developing philosophical thinking skills and developing the art of debate.,,,,,,,
1279,RE,Year 10 FC AQA,"AQA Theme B: Religion and Life: Pupils should study religious teachings, and religious, philosophical and ethical arguments, relating to the issues that follow, and their impact and influence in the modern world. They should be aware of contrasting perspectives in contemporary British society on all of these issues: The origins of the universe, including: religious teachings about the origins of the universe, and different interpretations of these, and the relationship between scientific views, such as the Big Bang theory, and religious views. The value of the world and the duty of human beings to protect it, including: religious teachings about the value of the world and the duty of human beings to protect it, including stewardship, dominion, responsibility, awe and wonder. The use and abuse of the environment, including the use of natural resources, pollution. The use and abuse of animals, including: animal experimentation; the use of animals for food. The origins of life, including: religious teachings about the origins of human life, and different interpretations of these, and the relationship between scientific views, such as evolution, and religious views. The concepts of sanctity of life and the quality of life. Abortion, including situations in which abortion may be considered, such as those involving rape, and religious and ethical arguments related to abortion, including those based on the sanctity of life and quality of life. Ethical arguments related to euthanasia, including those based on the sanctity of life and quality of life. Beliefs about death and an afterlife, and their impact on beliefs about the value of human life.",Times and dates in RE context.,,,,,,,,,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1280,RE,Year 10 FC AQA,,,AQA Theme B: Religion and Life continued.,Times and dates in RE context.,,,,,,,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1281,RE,Year 10 FC AQA,,,,,"AQA Theme E Crime and punishment Pupils should study religious teachings, and religious, philosophical and ethical arguments, relating to the issues that follow, and their impact and influence in the modern world. They should be aware of contrasting perspectives in contemporary British society on all of these issues. Religion, crime and the causes of crime: Good and evil intentions and actions, including whether it can ever be good to cause suffering. Reasons for crime, including: poverty and upbringing; mental illness and addiction; greed and hate; opposition to an unjust law. Views about people who break the law for these reasons. Views about different types of crime, including hate crimes, theft and murder. The aims of punishment, including: retribution; deterrence; reformation. The treatment of criminals, including: prison; corporal punishment; community service. Forgiveness. The death penalty. Ethical arguments related to the death penalty, including those based on the principle of utility and sanctity of life.",Times and dates in RE context.,,,,,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1282,RE,Year 10 FC AQA,,,,,,,AQA Theme E Crime and punishment continued.,Times and dates in RE context.,,,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1283,RE,Year 10 FC AQA,,,,,,,,,"Pupils should be aware of different religious perspectives on the issues studied within and / or between religious and non-religious beliefs such as atheism and humanism. Pupils must also study religious, philosophical and ethical arguments related to the issues raised, and their impact and influence on the modern world. Pupils will be expected to show their understanding of religion through the application of teachings from religion and beliefs. They will also be expected to make specific references to sources of wisdom and authority including scripture and/or sacred texts.",Times and dates in RE context.,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1284,RE,Year 10 FC AQA,,,,,,,,,,,"Pupils should be aware of different religious perspectives on the issues studied within and / or between religious and non-religious beliefs such as atheism and humanism. Pupils must also study religious, philosophical and ethical arguments related to the issues raised, and their impact and influence on the modern world. Pupils will be expected to show their understanding of religion through the application of teachings from religion and beliefs. They will also be expected to make specific references to sources of wisdom and authority including scripture and/or sacred texts.",Times and dates in RE context.,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
1285,RE,Year 10 S/C Eduquas,"Eduquas Component 2, Theme 1: Issues of Relationships (Christian and Jewish perspectives): Pupils should study religious teachings, and religious, philosophical and ethical arguments, relating to the issues that follow, and their impact and influence in the modern world. Pupils should be aware of contrasting perspectives in contemporary British society on all of these issues: The importance and significance of relationships and human sexuality, including: different types of relationships (e.g. heterosexual, homosexual, marriage, cohabitation, adultery) and their changing nature; the nature and purpose of sexual relationships; religious teachings about the nature and purpose of sex and human sexuality, including differing interpretations and emphases. Issues of equality: gender prejudice and discrimination, including examples. The nature and purpose of marriage, including: different religious teachings and religious and non-religious beliefs about the nature and purpose of marriage; changing attitudes to marriage in the 21st century and differing religious and non-religious attitudes. Divorce and remarriage, including: different religious teachings and religious and non-religious beliefs about divorce and remarriage; changing attitudes to divorce and remarriage in the 21st century and differing religious and non-religious attitudes. The purpose and importance of the family, including: different religious teachings and religious and non-religious beliefs about the purpose and importance of the family; changing attitudes to the family in the 21st century and differing religious and non-religious attitudes.",Times and dates in RE context.,,,,,,,,,,,,"Recalling keywords and quotes. Explaining religious influences. Explaining beliefs and teachings. Evaluating a statement to create a well-reasoned, critically analysed 12 mark question with suitable evidence.",Spiritual and Cultural: Valuing different faiths and cultures. Moral: Considering a broad spectrum of views to include the main religions of the UK today. Social: Exploring contemporary British values and drawing comparisons with religion.,,,,,,,
